Cell Line Name,Small Molecule Name,Drug Concentration (uM),Time Point (hr),Mean Relative Viability,Mean Apoptosis Fraction
COLO 858,SB590885,0.316,72,0.4942,0.1411
COLO 858,SB590885,1,24,0.8828,0.1227
COLO 858,SB590885,1,48,0.3407,0.2373
COLO 858,SB590885,1,72,0.3809,0.2676
COLO 858,SB590885,3.16,24,0.8106,0.1298
COLO 858,SB590885,3.16,48,0.2774,0.3405
COLO 858,SB590885,3.16,72,0.2903,0.4242
COLO 858,PLX-4720,0.0032,24,1.0285,0.0469
COLO 858,PLX-4720,0.0032,48,0.9682,0.0522
COLO 858,PLX-4720,0.0032,72,1.1298,0.0883
COLO 858,PLX-4720,0.01,24,1.1523,0.0452
COLO 858,PLX-4720,0.01,48,1.0692,0.0523
COLO 858,PLX-4720,0.01,72,1.2018,0.0826
COLO 858,PLX-4720,0.0316,24,1.206,0.0424
COLO 858,PLX-4720,0.0316,48,1.0601,0.0462
COLO 858,PLX-4720,0.0316,72,1.1877,0.0717
COLO 858,PLX-4720,0.1,24,1.1715,0.0482
COLO 858,PLX-4720,0.1,48,0.8929,0.0498
COLO 858,PLX-4720,0.1,72,0.8933,0.053
COLO 858,PLX-4720,0.316,24,1.0207,0.0562
COLO 858,PLX-4720,0.316,48,0.5381,0.0785
COLO 858,PLX-4720,0.316,72,0.5691,0.0842
COLO 858,PLX-4720,1,24,0.9459,0.1081
COLO 858,PLX-4720,1,48,0.407,0.1839
COLO 858,PLX-4720,1,72,0.4174,0.183
COLO 858,PLX-4720,3.16,24,0.808,0.1544
COLO 858,PLX-4720,3.16,48,0.3057,0.3229
COLO 858,PLX-4720,3.16,72,0.2732,0.3742
COLO 858,AZ-628,0.0032,24,0.9225,0.0485
COLO 858,AZ-628,0.0032,48,0.9655,0.0518
COLO 858,AZ-628,0.0032,72,1.0486,0.0847
COLO 858,AZ-628,0.01,24,1.1247,0.0403
COLO 858,AZ-628,0.01,48,1.0788,0.0435
COLO 858,AZ-628,0.01,72,1.1286,0.0691
COLO 858,AZ-628,0.0316,24,1.1618,0.0435
COLO 858,AZ-628,0.0316,48,0.778,0.0477
COLO 858,AZ-628,0.0316,72,0.7158,0.0679
COLO 858,AZ-628,0.1,24,0.9817,0.0728
COLO 858,AZ-628,0.1,48,0.4799,0.1205
COLO 858,AZ-628,0.1,72,0.4754,0.1095
COLO 858,AZ-628,0.316,24,0.9381,0.1055
COLO 858,AZ-628,0.316,48,0.3684,0.2211
COLO 858,AZ-628,0.316,72,0.3922,0.2252
COLO 858,AZ-628,1,24,0.9016,0.1363
COLO 858,AZ-628,1,48,0.3186,0.2956
COLO 858,AZ-628,1,72,0.307,0.3814
COLO 858,AZ-628,3.16,24,0.8156,0.1711
COLO 858,AZ-628,3.16,48,0.2483,0.4355
